Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.182976	0.140416	0.950495	1.000000	
0.248762	0.142339	0.910891	1.000000	
0.197407	0.137522	0.950495	1.000000	
0.223546	0.143103	0.900990	1.000000	
0.290726	0.152932	0.910891	1.000000	
0.183690	0.152139	0.940594	1.000000	
0.203375	0.143698	0.910891	1.000000	
0.206300	0.137142	0.940594	1.000000	
0.243649	0.134248	0.900990	1.000000	
0.327018	0.153945	0.871287	1.000000	
0.235674	0.151145	0.900990	1.000000	
0.273473	0.140463	0.900990	1.000000	
0.222509	0.136000	0.910891	1.000000	
0.236590	0.143881	0.950495	1.000000	
0.234395	0.140804	0.900990	1.000000	
0.234179	0.135189	0.930693	1.000000	
0.244246	0.151155	0.881188	1.000000	
0.225350	0.163192	0.930693	1.000000	
0.261038	0.135239	0.910891	1.000000	
0.224099	0.132950	0.930693	1.000000	
0.185264	0.136107	0.950495	1.000000	
0.241084	0.164363	0.900990	1.000000	
0.287626	0.159878	0.881188	1.000000	
0.226259	0.132793	0.920792	1.000000	
0.234778	0.135435	0.930693	1.000000	
0.240347	0.153890	0.900990	1.000000	
0.242526	0.136903	0.900990	1.000000	
0.256314	0.139511	0.930693	1.000000	
0.185079	0.152246	0.940594	1.000000	
0.233060	0.139429	0.910891	1.000000	
0.228835	0.140585	0.900990	1.000000	
0.226629	0.135487	0.910891	1.000000	
0.202399	0.132707	0.960396	1.000000	
0.266409	0.148509	0.881188	1.000000	
0.237159	0.157511	0.900990	1.000000	
0.255205	0.136293	0.910891	1.000000	
0.206642	0.129756	0.930693	1.000000	
0.326864	0.134779	0.841584	1.000000	
0.268852	0.145783	0.930693	1.000000	
0.291164	0.130764	0.891089	1.000000	
0.209592	0.133809	0.950495	1.000000	
0.207484	0.128817	0.950495	1.000000	
0.237012	0.131391	0.910891	1.000000	
0.202527	0.139566	0.940594	1.000000	
0.234099	0.139649	0.920792	1.000000	
0.226091	0.134787	0.910891	1.000000	
0.222210	0.144863	0.920792	1.000000	
0.252392	0.137232	0.900990	1.000000	
0.259968	0.137375	0.920792	1.000000	
0.230626	0.128242	0.910891	1.000000	
0.274683	0.135405	0.891089	1.000000	
0.280462	0.133878	0.910891	1.000000	
0.248392	0.133266	0.920792	1.000000	
0.241932	0.137808	0.930693	1.000000	
0.293262	0.128607	0.871287	1.000000	
0.267766	0.137644	0.891089	1.000000	
0.208302	0.140344	0.950495	1.000000	
0.179819	0.128265	0.950495	1.000000	
0.235423	0.125346	0.900990	1.000000	
0.222402	0.137647	0.920792	1.000000	
0.234200	0.126821	0.920792	1.000000	
0.248290	0.124719	0.920792	1.000000	
0.223953	0.136789	0.910891	1.000000	
0.347895	0.145526	0.831683	1.000000	
0.257822	0.132843	0.910891	1.000000	
0.227544	0.127259	0.910891	1.000000	
0.242793	0.130968	0.910891	1.000000	
0.255941	0.131754	0.891089	1.000000	
0.207069	0.140088	0.910891	1.000000	
0.240540	0.134854	0.900990	1.000000	
0.262641	0.125308	0.900990	1.000000	
0.197064	0.124341	0.950495	1.000000	
0.204168	0.140729	0.940594	1.000000	
0.244835	0.130476	0.871287	1.000000	
0.216898	0.122312	0.930693	1.000000	
0.273595	0.124553	0.910891	1.000000	
0.258616	0.130122	0.900990	1.000000	
0.296607	0.126534	0.900990	1.000000	
0.191789	0.125146	0.960396	1.000000	
0.249220	0.131492	0.920792	1.000000	
0.204327	0.157886	0.940594	1.000000	
0.214928	0.153541	0.910891	1.000000	
0.347099	0.125762	0.811881	1.000000	
0.286682	0.123928	0.891089	1.000000	
0.269149	0.130491	0.891089	1.000000	
0.166595	0.126301	0.970297	1.000000	
0.284069	0.134304	0.831683	1.000000	
0.242377	0.128099	0.900990	1.000000	
0.189000	0.124531	0.930693	1.000000	
0.179970	0.122602	0.950495	1.000000	
0.220120	0.120658	0.910891	1.000000	
0.201834	0.124560	0.940594	1.000000	
0.207560	0.123235	0.940594	1.000000	
0.234424	0.122919	0.910891	1.000000	
0.275574	0.127872	0.891089	1.000000	
0.277236	0.128285	0.861386	1.000000	
0.281042	0.126310	0.831683	1.000000	
0.225772	0.127593	0.900990	1.000000	
0.245645	0.121641	0.910891	1.000000	
0.312353	0.138018	0.801980	1.000000	
0.213157	0.128899	0.930693	1.000000	
0.198068	0.119820	0.950495	1.000000	
0.218055	0.121137	0.920792	1.000000	
0.237737	0.125146	0.900990	1.000000	
0.202966	0.126761	0.930693	1.000000	
0.197620	0.120211	0.940594	1.000000	
0.278907	0.118722	0.871287	1.000000	
